Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Year
0.0,2.0,4.0,182.0,407.0,493.0,722.0,291.0,164.0,101.0,0.0,1.0,197.25
0.0,2.0,16.0,257.0,410.0,596.0,572.0,503.0,196.0,89.0,0.0,1.0,220.17
0.0,3.0,13.0,76.0,437.0,570.0,728.0,307.0,217.0,312.0,0.0,5.0,222.33
26.0,0.0,0.0,59.0,252.0,975.0,1224.0,378.0,328.0,401.0,0.0,8.0,304.25
0.0,0.0,0.0,108.0,315.0,719.0,773.0,396.0,292.0,369.0,0.0,18.0,249.17
29.0,0.0,0.0,10.0,226.0,919.0,1334.0,459.0,233.0,598.0,0.0,10.0,318.17
0.0,39.0,95.0,393.0,519.0,794.0,689.0,504.0,373.0,103.0,39.0,29.0,298.08
34.0,19.0,51.0,248.0,559.0,366.0,195.0,354.0,174.0,120.0,2.0,50.0,181
0.0,12.0,9.0,144.0,107.0,139.0,239.0,85.0,116.0,87.0,0.0,17.0,79.58
0.0,9.0,48.0,247.0,183.0,110.0,451.0,103.0,67.0,94.0,4.0,19.0,111.25
0.0,35.0,44.0,134.0,336.0,242.0,434.0,144.0,162.0,70.0,0.0,18.0,134.92
0.0,19.0,46.0,103.0,252.0,267.0,457.0,228.0,169.0,62.0,0.0,14.0,134.75
0.0,38.0,62.0,229.0,230.0,198.0,306.0,202.0,109.0,61.0,0.0,17.0,121
0.0,0.0,14.0,169.0,307.0,363.0,154.0,198.0,145.0,33.0,0.0,7.0,115.83
0.0,0.0,29.0,63.0,144.0,127.0,171.0,152.0,192.0,8.0,0.0,10.0,74.67
0.0,0.0,25.0,194.0,122.0,416.0,218.0,245.0,245.0,16.0,0.0,9.0,124.17
0.0,2.0,54.0,71.0,263.0,756.0,634.0,439.0,455.0,3.0,0.0,7.0,223.67
0.0,1.0,18.0,227.0,306.0,590.0,430.0,433.0,380.0,2.0,0.0,7.0,199.5
0.0,3.0,33.0,162.0,364.0,391.0,138.0,67.0,171.0,41.0,0.0,5.0,114.58
0.0,0.0,1.0,82.0,218.0,265.0,271.0,100.0,106.0,53.0,0.0,3.0,91.58
0.0,0.0,5.0,81.0,266.0,503.0,427.0,212.0,177.0,100.0,0.0,2.0,147.75
0.0,0.0,0.0,77.0,138.0,256.0,273.0,259.0,146.0,105.0,0.0,10.0,105.33
0.0,3.0,12.0,207.0,166.0,119.0,430.0,114.0,75.0,76.0,0.0,11.0,101.08
0.0,3.0,1.0,130.0,169.0,214.0,398.0,146.0,110.0,55.0,0.0,25.0,104.25
0.0,6.0,30.0,171.0,250.0,243.0,420.0,81.0,123.0,119.0,0.0,31.0,122.83
0.0,0.0,10.0,163.0,250.0,341.0,297.0,180.0,84.0,110.0,0.0,4.0,119.92
0.0,0.0,5.0,150.0,368.0,377.0,528.0,296.0,106.0,201.0,10.0,0.0,170.08
0.0,0.0,1.0,48.0,273.0,742.0,766.0,295.0,275.0,267.0,1.0,1.0,222.42
0.0,0.0,7.0,134.0,316.0,350.0,287.0,181.0,120.0,111.0,0.0,1.0,125.58
0.0,2.0,100.0,230.0,202.0,398.0,584.0,573.0,383.0,381.0,6.0,33.0,241
0.0,0.0,158.0,329.0,352.0,496.0,367.0,448.0,435.0,214.0,25.0,34.0,238.17
0.0,1.0,102.0,265.0,252.0,218.0,501.0,471.0,291.0,373.0,17.0,46.0,211.42
0.0,0.0,83.0,160.0,204.0,333.0,474.0,323.0,217.0,286.0,14.0,29.0,176.92
0.0,0.0,106.0,310.0,238.0,390.0,487.0,512.0,258.0,440.0,17.0,44.0,233.5
0.0,0.0,102.0,309.0,330.0,847.0,1011.0,523.0,541.0,123.0,2.0,17.0,317.08
0.0,0.0,190.0,368.0,353.0,900.0,1203.0,740.0,928.0,335.0,1.0,37.0,421.25
0.0,0.0,113.0,291.0,261.0,940.0,1316.0,812.0,790.0,173.0,1.0,41.0,394.83
0.0,0.0,108.0,388.0,191.0,1186.0,678.0,639.0,421.0,157.0,18.0,30.0,318
0.0,8.0,231.0,360.0,265.0,414.0,649.0,534.0,287.0,272.0,5.0,162.0,265.58
0.0,1.0,147.0,288.0,213.0,479.0,627.0,610.0,329.0,272.0,14.0,125.0,258.75
0.0,36.0,194.0,318.0,292.0,532.0,980.0,648.0,412.0,401.0,13.0,76.0,325.17
0.0,0.0,169.0,446.0,214.0,770.0,1031.0,721.0,561.0,458.0,4.0,91.0,372.08
0.0,0.0,136.0,378.0,326.0,434.0,1185.0,700.0,652.0,398.0,2.0,43.0,354.5
0.0,0.0,216.0,361.0,151.0,539.0,1434.0,530.0,512.0,156.0,4.0,19.0,326.83
0.0,0.0,181.0,289.0,187.0,672.0,1157.0,453.0,607.0,182.0,6.0,40.0,314.5
0.0,0.0,128.0,162.0,160.0,861.0,1373.0,777.0,475.0,174.0,1.0,87.0,349.83
0.0,137.0,478.0,786.0,616.0,1020.0,852.0,1081.0,583.0,301.0,3.0,90.0,495.58
0.0,1.0,269.0,633.0,368.0,880.0,234.0,508.0,427.0,344.0,12.0,124.0,316.67
2.0,0.0,45.0,127.0,146.0,171.0,375.0,209.0,149.0,219.0,5.0,25.0,122.75
1.0,0.0,40.0,139.0,91.0,161.0,455.0,265.0,290.0,317.0,19.0,39.0,151.42
0.0,0.0,99.0,174.0,223.0,227.0,513.0,249.0,267.0,223.0,3.0,15.0,166.08
3.0,0.0,116.0,172.0,360.0,127.0,323.0,540.0,110.0,143.0,0.0,0.0,157.83
5.0,0.0,102.0,196.0,171.0,160.0,196.0,669.0,129.0,140.0,0.0,0.0,147.33
3.0,0.0,100.0,165.0,264.0,256.0,362.0,717.0,111.0,196.0,0.0,0.0,181.17
0.0,2.0,59.0,128.0,173.0,376.0,668.0,310.0,183.0,274.0,19.0,51.0,186.92
0.0,0.0,83.0,56.0,104.0,339.0,528.0,356.0,195.0,335.0,17.0,59.0,172.67
0.0,0.0,59.0,25.0,146.0,288.0,573.0,254.0,209.0,323.0,26.0,58.0,163.42
0.0,0.0,25.0,154.0,188.0,272.0,659.0,310.0,196.0,359.0,25.0,30.0,184.83
0.0,0.0,9.0,178.0,225.0,126.0,383.0,200.0,114.0,217.0,26.0,53.0,127.58
0.0,0.0,59.0,365.0,118.0,508.0,542.0,365.0,227.0,375.0,14.0,57.0,219.17
0.0,0.0,119.0,250.0,56.0,385.0,733.0,540.0,286.0,391.0,18.0,52.0,235.83
0.0,0.0,155.0,109.0,78.0,455.0,1058.0,390.0,371.0,444.0,23.0,55.0,261.5
0.0,0.0,128.0,340.0,103.0,387.0,576.0,419.0,272.0,231.0,17.0,100.0,214.42
